backend,test,iterations,time
cpc-ucontext,lifecycle,1000000,0.108564
cpc-ucontext,lifecycle,1000000,0.108487
cpc-ucontext,lifecycle,1000000,0.106850
cpc-ucontext,lifecycle,1000000,0.107586
cpc-ucontext,lifecycle,1000000,0.107889
cpc-ucontext,lifecycle,1000000,0.107921
cpc-ucontext,lifecycle,1000000,0.107435
cpc-ucontext,lifecycle,1000000,0.107609
cpc-ucontext,lifecycle,1000000,0.109084
cpc-ucontext,lifecycle,1000000,0.108047
cpc-ucontext,yield,100000000,8.313267
cpc-ucontext,yield,100000000,8.337657
cpc-ucontext,yield,100000000,8.257690
cpc-ucontext,yield,100000000,8.298473
cpc-ucontext,yield,100000000,8.340993
cpc-ucontext,yield,100000000,8.329030
cpc-ucontext,yield,100000000,8.300736
cpc-ucontext,yield,100000000,8.297284
cpc-ucontext,yield,100000000,8.336794
cpc-ucontext,yield,100000000,8.266591
cpc-ucontext,nesting,10000,6.874418
cpc-ucontext,nesting,10000,6.913206
cpc-ucontext,nesting,10000,6.868720
cpc-ucontext,nesting,10000,6.875098
cpc-ucontext,nesting,10000,6.888949
cpc-ucontext,nesting,10000,6.913041
cpc-ucontext,nesting,10000,6.886429
cpc-ucontext,nesting,10000,6.891062
cpc-ucontext,nesting,10000,6.865615
cpc-ucontext,nesting,10000,6.879867
cpc-ucontext-nopool,lifecycle,1000000,0.466120
cpc-ucontext-nopool,lifecycle,1000000,0.469667
cpc-ucontext-nopool,lifecycle,1000000,0.461881
cpc-ucontext-nopool,lifecycle,1000000,0.467289
cpc-ucontext-nopool,lifecycle,1000000,0.462600
cpc-ucontext-nopool,lifecycle,1000000,0.462516
cpc-ucontext-nopool,lifecycle,1000000,0.475914
cpc-ucontext-nopool,lifecycle,1000000,0.465393
cpc-ucontext-nopool,lifecycle,1000000,0.465496
cpc-ucontext-nopool,lifecycle,1000000,0.462960
cpc-ucontext-nopool,yield,100000000,8.328127
cpc-ucontext-nopool,yield,100000000,8.370313
cpc-ucontext-nopool,yield,100000000,8.365807
cpc-ucontext-nopool,yield,100000000,8.366694
cpc-ucontext-nopool,yield,100000000,8.368255
cpc-ucontext-nopool,yield,100000000,8.366746
cpc-ucontext-nopool,yield,100000000,8.372058
cpc-ucontext-nopool,yield,100000000,8.563261
cpc-ucontext-nopool,yield,100000000,8.367389
cpc-ucontext-nopool,yield,100000000,8.326749
cpc-ucontext-nopool,nesting,10000,38.757779
cpc-ucontext-nopool,nesting,10000,38.997924
cpc-ucontext-nopool,nesting,10000,39.408621
cpc-ucontext-nopool,nesting,10000,38.917724
cpc-ucontext-nopool,nesting,10000,38.585407
cpc-ucontext-nopool,nesting,10000,39.734507
cpc-ucontext-nopool,nesting,10000,38.961220
cpc-ucontext-nopool,nesting,10000,38.629007
cpc-ucontext-nopool,nesting,10000,38.661247
cpc-ucontext-nopool,nesting,10000,38.811542
gcc-sigaltstack,lifecycle,1000000,0.108712
gcc-sigaltstack,lifecycle,1000000,0.108905
gcc-sigaltstack,lifecycle,1000000,0.108609
gcc-sigaltstack,lifecycle,1000000,0.108607
gcc-sigaltstack,lifecycle,1000000,0.108314
gcc-sigaltstack,lifecycle,1000000,0.108650
gcc-sigaltstack,lifecycle,1000000,0.109992
gcc-sigaltstack,lifecycle,1000000,0.108945
gcc-sigaltstack,lifecycle,1000000,0.107976
gcc-sigaltstack,lifecycle,1000000,0.108325
gcc-sigaltstack,yield,100000000,8.734004
gcc-sigaltstack,yield,100000000,8.730040
gcc-sigaltstack,yield,100000000,8.719857
gcc-sigaltstack,yield,100000000,8.749268
gcc-sigaltstack,yield,100000000,8.919983
gcc-sigaltstack,yield,100000000,8.716012
gcc-sigaltstack,yield,100000000,8.778553
